p_f_topo,dev_p_f_topo,t,dev_t,s,dev_s,p_i,dev_p_i
0.030,0.001,0.012,0.001,0.02355,0.00005,0.000,0.001
0.050,0.001,0.019,0.001,0.02355,0.00005,0.000,0.001
0.060,0.001,0.023,0.001,0.02355,0.00005,0.000,0.001
0.080,0.001,0.030,0.001,0.02355,0.00005,0.000,0.001
0.100,0.001,0.038,0.001,0.02355,0.00005,0.000,0.001
0.110,0.001,0.041,0.001,0.02355,0.00005,0.000,0.001
0.130,0.001,0.048,0.001,0.02355,0.00005,0.000,0.001
0.150,0.001,0.055,0.001,0.02355,0.00005,0.000,0.001
0.170,0.001,0.062,0.001,0.02355,0.00005,0.000,0.001
0.200,0.001,0.072,0.001,0.02355,0.00005,0.000,0.001
0.220,0.001,0.078,0.001,0.02355,0.00005,0.000,0.001
0.230,0.001,0.081,0.001,0.02355,0.00005,0.000,0.001
0.240,0.001,0.083,0.001,0.02355,0.00005,0.000,0.001
0.250,0.001,0.086,0.001,0.02355,0.00005,0.000,0.001
0.270,0.001,0.092,0.001,0.02355,0.00005,0.000,0.001
0.300,0.001,0.102,0.001,0.02355,0.00005,0.000,0.001
0.330,0.001,0.110,0.001,0.02355,0.00005,0.000,0.001
0.350,0.001,0.116,0.001,0.02355,0.00005,0.000,0.001
0.370,0.001,0.122,0.001,0.02355,0.00005,0.000,0.001
0.380,0.001,0.125,0.001,0.02355,0.00005,0.000,0.001
