p_f_topo,dev_p_f_topo,t,dev_t,s,dev_s,p_i,dev_p_i,h,dev_h,v,dev_v,a,dev_a,invariant,dev_invariant
0.03,0.001,0.012,0.001,0.02355,5e-05,0.0,0.001,0.03,0.0020499999999999997,2.7777777777777772,0.5364197530864196,2.4671622769447924e-14,44.70164609053497,-7.716049382716045,5.662208504801095
0.05,0.001,0.019,0.001,0.02355,5e-05,0.0,0.001,0.05,0.0020499999999999997,2.6315789473684212,0.49279778393351803,7.694675284702948,40.86300058137546,-6.155740227762394,6.711520773823343
0.06,0.001,0.023,0.001,0.02355,5e-05,0.0,0.001,0.060000000000000005,0.0020499999999999997,2.7777777777777763,0.5364197530864195,2.3741690408357976,43.94099885552877,-7.431149097815745,8.262763695099874
0.08,0.001,0.03,0.001,0.02355,5e-05,0.0,0.001,0.07999999999999999,0.0020499999999999997,2.7777777777777777,0.2682098765432098,2.2045855379189123,21.513955376389234,-7.363315696649023,4.941326530612243
0.1,0.001,0.038,0.001,0.02355,5e-05,0.0,0.001,0.1,0.0020499999999999997,2.7777777777777772,0.26820987654320977,10.233918128654965,21.271267227522998,-5.6692657569850535,5.786267379516583
0.11,0.001,0.041,0.001,0.02355,5e-05,0.0,0.001,0.10999999999999999,0.0020499999999999997,2.8205128205128207,0.2497698882314267,5.698005698005746,20.520917038011056,-6.701731317115923,5.946921915593842
0.13,0.001,0.048,0.001,0.02355,5e-05,0.0,0.001,0.13,0.0020499999999999997,2.857142857142858,0.23367346938775513,8.692365835222947,13.86498338312397,-5.903250188964488,4.975811347466676
0.15,0.001,0.055,0.001,0.02355,5e-05,0.0,0.001,0.15,0.0020499999999999997,3.0,0.2525,11.200716845878155,15.774648000411094,-5.639784946236554,6.293317339191429
0.17,0.001,0.062,0.001,0.02355,5e-05,0.0,0.001,0.17,0.0020499999999999997,3.0000000000000004,0.2525,12.82051282051282,15.857495069033531,-4.641025641025645,6.959112426035504
0.2,0.001,0.072,0.001,0.02355,5e-05,0.0,0.001,0.2,0.0020499999999999997,3.1428571428571415,0.2967346938775509,13.6054421768707,17.707806932296727,-4.435374149659873,9.004094590217038
0.22,0.001,0.078,0.001,0.02355,5e-05,0.0,0.001,0.22,0.0020499999999999997,3.2258064516129035,0.3403746097814777,14.11290322580647,20.119179240374613,-4.196149843912584,11.106266993387267
0.23,0.001,0.081,0.001,0.02355,5e-05,0.0,0.001,0.23,0.0020499999999999997,3.3333333333333335,0.35888888888888887,14.285714285714235,19.804421768707478,-4.539682539682564,11.561198034769461
0.24,0.001,0.083,0.001,0.02355,5e-05,0.0,0.001,0.23999999999999996,0.0020499999999999997,3.3333333333333326,0.35888888888888887,6.349206349206446,19.51671608814467,-8.063492063492012,11.786648060933778
0.25,0.001,0.086,0.001,0.02355,5e-05,0.0,0.001,0.24999999999999997,0.0020499999999999997,3.4375000000000004,0.34296875,3.360215053763438,19.473856748668148,-10.136298723118285,12.108615412304502
0.27,0.001,0.092,0.001,0.02355,5e-05,0.0,0.001,0.27,0.0020499999999999997,3.4285714285714275,0.3130612244897958,-7.61295788314393e-14,23.071428571428566,-11.75510204081636,14.605276967930026
0.3,0.001,0.102,0.001,0.02355,5e-05,0.0,0.001,0.3,0.0020499999999999997,3.333333333333335,0.2760683760683762,4.273504273504282,23.652202498356345,-8.547008547008552,16.049298706991017
0.33,0.001,0.11,0.001,0.02355,5e-05,0.0,0.001,0.33,0.0020499999999999997,3.3333333333333335,0.27606837606837603,-2.670940170940201,27.33560020819636,-12.873931623931645,19.892902832566293
0.35,0.001,0.116,0.001,0.02355,5e-05,0.0,0.001,0.35,0.0020499999999999997,3.333333333333331,0.44861111111111074,-3.968253968254027,32.06703514739227,-13.888888888888914,25.453935185185166
0.37,0.001,0.122,0.001,0.02355,5e-05,0.0,0.001,0.37,0.0020499999999999997,3.4999999999999996,0.5549999999999998,8.333333333333236,42.38675213675212,-6.083333333333401,35.28536324786324
0.38,0.001,0.125,0.001,0.02355,5e-05,0.0,0.001,0.38,0.0020499999999999997,3.3333333333333326,0.7177777777777777,-5.921189464667502e-14,66.25641025641026,-11.11111111111115,55.14005698005698
