support_mass,support_mass_dev,discs_mass,discs_mass_dev,position,position_dev
0.0127,0.0001,0.0101,0.0001,0.221,0.002
0.0127,0.0001,0.0203,0.0002,0.229,0.002
0.0127,0.0001,0.0305,0.0003,0.239,0.002
0.0127,0.0001,0.0405,0.0004,0.25,0.002
0.0127,0.0001,0.0501,0.0001,0.26,0.002
0.0127,0.0001,0.0602,0.0002,0.27,0.002
0.0127,0.0001,0.0704,0.0003,0.279,0.002
0.0127,0.0001,0.0806,0.0004,0.291,0.002
0.0127,0.0001,0.0906,0.0005,0.299,0.002
0.0127,0.0001,0.1003,0.0002,0.309,0.002
0.0127,0.0001,0.1104,0.0003,0.318,0.002
0.0127,0.0001,0.1206,0.0004,0.329,0.002
0.0127,0.0001,0.1308,0.0005,0.339,0.002
0.0127,0.0001,0.1408,0.0006,0.348,0.002
0.0127,0.0001,0.1501,0.0003,0.356,0.002
