support_mass,support_mass_dev,support_mass_aprox,support_mass_majdev,discs_mass,discs_mass_dev,discs_mass_aprox,discs_mass_majdev,position,position_dev,position_aprox,position_majdev,force,force_dev,force_aprox,force_majdev,x,x_dev,x_aprox,x_majdev,k,k_dev,k_aprox,k_majdev
0.0127,0.0001,0.0127,0.0002,0.0101,0.0001,0.0101,0.0002,0.221,0.002,0.221,0.003,0.09881435999999999,0.00100866,0.099,0.002,0.01100000000000001,0.004,0.011,0.005,8.983123636363628,3.358286776859498,9,4
0.0127,0.0001,0.0127,0.0002,0.0203,0.0002,0.0203,0.0003,0.229,0.002,0.229,0.003,0.19860708,0.00201762,0.199,0.003,0.019000000000000017,0.004,0.019,0.005,10.453004210526306,2.3068229916897467,10,3
0.0127,0.0001,0.0127,0.0002,0.0305,0.0003,0.0305,0.0004,0.239,0.002,0.239,0.003,0.2983998,0.0030265799999999996,0.298,0.004,0.028999999999999998,0.004,0.029,0.005,10.289648275862069,1.523626658739596,10,2
0.0127,0.0001,0.0127,0.0002,0.0405,0.0004,0.0405,0.0005,0.25,0.002,0.25,0.003,0.3962358,0.00403494,0.396,0.005,0.04000000000000001,0.004,0.04,0.005,9.905895,1.0914629999999996,10,2
0.0127,0.0001,0.0127,0.0002,0.0501,0.0001,0.0501,0.0002,0.26,0.002,0.26,0.003,0.49015835999999996,0.0011286599999999999,0.49,0.002,0.05000000000000002,0.004,0.05,0.005,9.803167199999995,0.8068265759999993,9.8,0.9
0.0127,0.0001,0.0127,0.0002,0.0602,0.0002,0.0602,0.0003,0.27,0.002,0.27,0.003,0.58897272,0.00213732,0.589,0.003,0.060000000000000026,0.004,0.06,0.005,9.816211999999997,0.6900361333333327,9.8,0.7
0.0127,0.0001,0.0127,0.0002,0.0704,0.0003,0.0704,0.0004,0.279,0.002,0.279,0.003,0.6887654400000001,0.0031462799999999996,0.689,0.004,0.06900000000000003,0.004,0.069,0.005,9.982107826086953,0.624271178323881,10.0,0.7
0.0127,0.0001,0.0127,0.0002,0.0806,0.0004,0.0806,0.0005,0.291,0.002,0.291,0.003,0.78855816,0.00415524,0.789,0.005,0.08099999999999999,0.004,0.081,0.005,9.735285925925927,0.5320541197988113,9.7,0.6
0.0127,0.0001,0.0127,0.0002,0.0906,0.0005,0.0906,0.0006,0.299,0.002,0.299,0.003,0.8863941599999999,0.0051636,0.886,0.006,0.089,0.004,0.089,0.005,9.959484943820224,0.5056352783739427,10.0,0.6
0.0127,0.0001,0.0127,0.0002,0.1003,0.0002,0.1003,0.0003,0.309,0.002,0.309,0.003,0.98129508,0.00225762,0.981,0.003,0.099,0.004,0.099,0.005,9.912071515151515,0.4232919804101622,9.9,0.5
0.0127,0.0001,0.0127,0.0002,0.1104,0.0003,0.1104,0.0004,0.318,0.002,0.318,0.003,1.08010944,0.00326628,1.08,0.004,0.10800000000000001,0.004,0.108,0.005,10.001013333333331,0.4006512345679012,10.0,0.5
0.0127,0.0001,0.0127,0.0002,0.1206,0.0004,0.1206,0.0005,0.329,0.002,0.329,0.003,1.17990216,0.00427524,1.18,0.005,0.11900000000000002,0.004,0.119,0.005,9.91514420168067,0.36920854459430813,9.9,0.4
0.0127,0.0001,0.0127,0.0002,0.1308,0.0005,0.1308,0.0006,0.339,0.002,0.339,0.003,1.2796948799999999,0.0052842,1.28,0.006,0.12900000000000003,0.004,0.129,0.005,9.920115348837205,0.34856326663061094,9.9,0.4
0.0127,0.0001,0.0127,0.0002,0.1408,0.0006,0.1408,0.0007,0.348,0.002,0.348,0.003,1.3775308800000001,0.006292559999999999,1.378,0.007,0.13799999999999998,0.004,0.138,0.005,9.982107826086958,0.3349347195967235,10.0,0.4
0.0127,0.0001,0.0127,0.0002,0.1501,0.0003,0.1501,0.0004,0.356,0.002,0.356,0.003,1.46851836,0.0033853799999999995,1.469,0.004,0.146,0.004,0.146,0.005,10.05834493150685,0.2987586282604616,10.1,0.3
