initial_frame,initial_frame_dev,final_frame,final_frame_dev,fps,fps_dev,mass,mass_dev,n_oscilations
129,3,224,3,30.029,0.001,0.0101,0.0001,10
76,3,188,3,30.029,0.001,0.0203,0.0002,10
300,3,427,3,30.029,0.001,0.0305,0.0003,10
91,3,231,3,30.029,0.001,0.0405,0.0004,10
22,3,217,3,30.029,0.001,0.0806,0.0004,10
252,3,455,3,30.029,0.001,0.1003,0.0002,10
170,3,380,3,30.029,0.001,0.1104,0.0003,10
121,3,341,3,30.029,0.001,0.1206,0.0004,10
210,3,436,3,30.029,0.001,0.1308,0.0005,10
41,3,275,3,30.029,0.001,0.1408,0.0006,10
33,3,274,3,30.029,0.001,0.1501,0.0003,10
