initial_frame,initial_frame_dev,initial_frame_aprox,initial_frame_majdev,final_frame,final_frame_dev,final_frame_aprox,final_frame_majdev,fps,fps_dev,fps_aprox,fps_majdev,mass,mass_dev,mass_aprox,mass_majdev,n_oscilations,n_oscilations_dev,n_oscilations_aprox,n_oscilations_majdev,total_mass,total_mass_dev,total_mass_aprox,total_mass_majdev,time,time_dev,time_aprox,time_majdev,period,period_dev,period_aprox,period_majdev,k,k_dev,k_aprox,k_majdev
129.0,3.0,129,4,224.0,3.0,224,4,30.029,0.001,30.029,0.002,0.0101,0.0001,0.0101,0.0002,10.0,0.0,10,1,0.0228,0.0002,0.0228,0.0003,3.1636085117719537,0.19991220515207872,3.2,0.2,0.31636085117719537,0.019991220515207873,0.32,0.02,8.993507745322733,1.2155114379678875,9,2
76.0,3.0,76,4,188.0,3.0,188,4,30.029,0.001,30.029,0.002,0.0203,0.0002,0.0203,0.0003,10.0,0.0,10,1,0.033,0.00030000000000000003,0.033,0.0004,3.7297279296679875,0.19993105757533278,3.7,0.2,0.37297279296679875,0.01999310575753328,0.37,0.02,9.365249914164396,1.089182016282591,9,2
300.0,3.0,300,4,427.0,3.0,427,4,30.029,0.001,30.029,0.002,0.0305,0.0003,0.0305,0.0004,10.0,0.0,10,1,0.0432,0.00039999999999999996,0.0432,0.0004,4.229245063105664,0.19994769206643928,4.2,0.2,0.42292450631056644,0.01999476920664393,0.42,0.02,9.534935981463123,0.9898603256854897,10,1
91.0,3.0,91,4,231.0,3.0,231,4,30.029,0.001,30.029,0.002,0.0405,0.0004,0.0405,0.0005,10.0,0.0,10,1,0.0532,0.0005,0.0532,0.0006,4.662159912084984,0.1999621086253983,4.7,0.2,0.46621599120849844,0.01999621086253983,0.47,0.02,9.6626675478021,0.9196867473093112,10,1
22.0,3.0,22,4,217.0,3.0,217,4,30.029,0.001,30.029,0.002,0.0806,0.0004,0.0806,0.0005,10.0,0.0,10,1,0.09330000000000001,0.0005,0.0933,0.0006,6.4937227346898,0.2000231017594555,6.5,0.3,0.64937227346898,0.020002310175945552,0.65,0.03,8.73481874870349,0.5849194563599502,8.7,0.6
252.0,3.0,252,4,455.0,3.0,455,4,30.029,0.001,30.029,0.002,0.1003,0.0002,0.1003,0.0003,10.0,0.0,10,1,0.113,0.00030000000000000003,0.113,0.0004,6.760131872523227,0.20003197348804566,6.8,0.3,0.6760131872523227,0.02000319734880457,0.68,0.03,9.761753666880972,0.6036157931172749,9.8,0.7
170.0,3.0,170,4,380.0,3.0,380,4,30.029,0.001,30.029,0.002,0.1104,0.0003,0.1104,0.0004,10.0,0.0,10,1,0.1231,0.00039999999999999996,0.1231,0.0004,6.9932398681274766,0.20003973625056204,7.0,0.3,0.6993239868127477,0.020003973625056206,0.7,0.03,9.937129282660306,0.6007874103860149,9.9,0.7
121.0,3.0,121,4,341.0,3.0,341,4,30.029,0.001,30.029,0.002,0.1206,0.0004,0.1206,0.0005,10.0,0.0,10,1,0.1333,0.0005,0.1333,0.0006,7.326251290419261,0.20005082591129972,7.3,0.3,0.7326251290419261,0.020005082591129972,0.73,0.03,9.804518365435124,0.5722210520679256,9.8,0.6
210.0,3.0,210,4,436.0,3.0,436,4,30.029,0.001,30.029,0.002,0.1308,0.0005,0.1308,0.0006,10.0,0.0,10,1,0.1435,0.0006000000000000001,0.1435,0.0007,7.526058143794332,0.20005747970774232,7.5,0.3,0.7526058143794332,0.020005747970774233,0.75,0.03,10.00176161815335,0.5735523410876019,10.0,0.6
41.0,3.0,41,4,275.0,3.0,275,4,30.029,0.001,30.029,0.002,0.1408,0.0006,0.1408,0.0007,10.0,0.0,10,1,0.1535,0.0007,0.1535,0.0008,7.79246728162776,0.20006635143633247,7.8,0.3,0.779246728162776,0.02000663514363325,0.78,0.03,9.979715061375979,0.5579550326361628,10.0,0.6
33.0,3.0,33,4,274.0,3.0,274,4,30.029,0.001,30.029,0.002,0.1501,0.0003,0.1501,0.0004,10.0,0.0,10,1,0.1628,0.00039999999999999996,0.1628,0.0004,8.02557527723201,0.20007411419884885,8.0,0.3,0.802557527723201,0.020007411419884887,0.8,0.03,9.97842028009456,0.5220323910594953,10.0,0.6
