frame,frame_dev,position,position_dev,fps,fps_dev
0,3,0.375,0.01,30.029,0.001
1,3,0.371,0.01,30.029,0.001
2,3,0.352,0.01,30.029,0.001
3,3,0.33,0.01,30.029,0.001
4,3,0.316,0.01,30.029,0.001
5,3,0.292,0.01,30.029,0.001
6,3,0.278,0.01,30.029,0.001
7,3,0.262,0.01,30.029,0.001
8,3,0.256,0.01,30.029,0.001
9,3,0.249,0.01,30.029,0.001
10,3,0.251,0.01,30.029,0.001
11,3,0.257,0.01,30.029,0.001
12,3,0.27,0.01,30.029,0.001
13,3,0.288,0.01,30.029,0.001
14,3,0.304,0.01,30.029,0.001
15,3,0.328,0.01,30.029,0.001
16,3,0.34,0.01,30.029,0.001
17,3,0.36,0.01,30.029,0.001
18,3,0.369,0.01,30.029,0.001
19,3,0.374,0.01,30.029,0.001
20,3,0.372,0.01,30.029,0.001
21,3,0.363,0.01,30.029,0.001
22,3,0.349,0.01,30.029,0.001
23,3,0.332,0.01,30.029,0.001
24,3,0.316,0.01,30.029,0.001
25,3,0.295,0.01,30.029,0.001
26,3,0.276,0.01,30.029,0.001
27,3,0.26,0.01,30.029,0.001
28,3,0.252,0.01,30.029,0.001
29,3,0.247,0.01,30.029,0.001
30,3,0.248,0.01,30.029,0.001
31,3,0.253,0.01,30.029,0.001
32,3,0.267,0.01,30.029,0.001
33,3,0.282,0.01,30.029,0.001
34,3,0.3,0.01,30.029,0.001
35,3,0.312,0.01,30.029,0.001
36,3,0.339,0.01,30.029,0.001
37,3,0.353,0.01,30.029,0.001
38,3,0.366,0.01,30.029,0.001
39,3,0.374,0.01,30.029,0.001
40,3,0.378,0.01,30.029,0.001
41,3,0.369,0.01,30.029,0.001
42,3,0.355,0.01,30.029,0.001
43,3,0.339,0.01,30.029,0.001
44,3,0.324,0.01,30.029,0.001
45,3,0.304,0.01,30.029,0.001
46,3,0.283,0.01,30.029,0.001
47,3,0.268,0.01,30.029,0.001
48,3,0.256,0.01,30.029,0.001
49,3,0.253,0.01,30.029,0.001
50,3,0.252,0.01,30.029,0.001
51,3,0.255,0.01,30.029,0.001
